"","CONTEXT","Count"
"866","B25 | 03 | ",1
"867","B25 | 06 | ",1
"868","C00 |  | ",9
"869","C00 | 01 | ",119
"870","C00 | 02 | ",76
"871","C00 | 05 | ",2
"872","C00 | UNPROV | ",1
"873","C01 | 01 | ",90
"874","C01 | 02 | ",121
"875","C02 |  | ",8
"876","C02 | 01 | ",135
"877","C02 | 02 | ",155
"878","C02 | UNPROV | ",2
"879","C03 | 01 | ",135
"880","C03 | 02 | ",92
"881","C04 |  | ",1
"882","C04 | 01 | ",51
"883","C04 | 02 | ",2
"884","D00 |  | ",298
"885","D00 | 03 | ",8
"886","D00 | 04 | ",2
"887","D00 | 05 | ",18
"888","D00 | 06 | ",26
"889","D00 | UNPROV | ",5
"890","D01 | 01 | ",2
"891","D01 | 04 | ",1
"892","D01 | 05 | ",1
"893","D02 |  | ",1
"894","D02 | 01 | ",43
"895","D02 | 02 | ",18
"896","D02 | 03 | ",33
"897","D02 | 04 | ",20
"898","D02 | 05 | ",27
"899","D02 | 07 | ",3
"900","D03 |  | ",38
"901","D03 | 01 | ",1
"902","D03 | 03 | ",10
"903","D03 | 04 | ",11
"904","D03 | 05 | ",9
"905","D04 |  | ",29
"906","D04 | 03A | ",1
"907","D04 | 04 | ",1
"908","D04 | 05 | ",4
"909","D05 |  | ",1
"910","D05 | 01 | ",38
"911","D05 | 02 | ",13
"912","D05 | 03 | ",11
"913","D05 | 04 | ",14
"914","D05 | 05 | ",25
"915","D05 | 06 | ",3
"916","D06 | 01 | ",33
"917","D06 | 02 | ",39
"918","D06 | 03 | ",21
"919","D06 | 04 | ",38
"920","D06 | 05 | ",44
"921","D06 | 06 | ",1
"922","D06 | 08 | ",1
"923","D07 |  | ",1
"924","D07 | 01 | ",46
"925","D07 | 0102 | ",1
"926","D07 | 02 | ",23
"927","D07 | 03 | ",13
"928","D07 | 04 | ",8
"929","D07 | 05 | ",45
"930","D08 | 01 | ",28
"931","D08 | 02 | ",6
"932","D08 | 03 | ",15
"933","D08 | 03A | ",1
"934","D08 | 04 | ",58
"935","D08 | 05 | ",32
"936","D09 |  | ",4
"937","D09 | 01 | ",81
"938","D09 | 0102 | ",1
"939","D09 | 02 | ",17
"940","D09 | 03 | ",22
"941","D09 | 04 | ",36
"942","D09 | 05 | ",24
"943","D09 | UNPROV | ",1
"944","D10 | 01 | ",27
"945","D10 | 02 | ",11
"946","D10 | 03 | ",2
"947","D10 | 04 | ",17
"948","D10 | 05 | ",19
"949","D10 | 08 | ",1
"950","D11 |  | ",6
"951","D11 | 01 | ",9
"952","D11 | 02 | ",25
"953","D11 | 03 | ",31
"954","D11 | 04 | ",30
"955","D11 | 05 | ",4
"956","D12 |  | ",8
"957","D12 | 01 | ",27
"958","D12 | 02 | ",25
"959","D12 | 03 | ",6
"960","D12 | 04 | ",27
"961","D12 | 05 | ",18
"962","D13 |  | ",53
"963","D13 | 04 | ",1
"964","D13 | 06 | ",1
"965","D14 |  | ",7
"966","D14 | 01 | ",1
"967","D14 | 02 | ",4
"968","D14 | 03 | ",2
"969","D14 | 03A | ",1
"970","D14 | 04 | ",15
"971","D14 | 05 | ",32
"972","D15 |  | ",26
"973","D15 | 05 | ",1
"974","D16 |  | ",54
"975","D16 | 01 | ",5
"976","D16 | 0102 | ",1
"977","D16 | 03 | ",11
"978","D16 | 05 | ",36
"979","D16 | 06 | ",1
"980","D20 | 04 | ",1
"981","D22 |  | ",1
"982","DUNPROV | 04 | ",1
"983","E00 |  | ",40
"984","E00 | 01 | ",10
"985","E00 | 0102 | ",19
"986","E00 | 03 | ",20
"987","E00 | 04 | ",166
"988","E00 | 05 | ",136
"989","E00 | 06 | ",24
"990","E00 | 07 | ",4
"991","E01 | 01 | ",38
"992","E01 | 0102 | ",3
"993","E01 | 02 | ",19
"994","E01 | 03 | ",35
"995","E01 | 04 | ",45
"996","E01 | 05 | ",17
"997","E01 | 06 | ",12
"998","E01 | 06N | ",4
"999","E01 | 07 | ",18
"1000","E01 | 09 | ",1
"1001","E02 |  | ",1
"1002","E02 | 0102 | ",22
"1003","E02 | 03 | ",17
"1004","E02 | 04 | ",35
"1005","E02 | 05 | ",22
"1006","E02 | 06 | ",46
"1007","E02 | 07 | ",74
"1008","E02 | 08 | ",5
"1009","E02 | 09 | ",1
