Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
B14,3b,,,2,10,20,,32,5.4375,1723.81125,,,
B14,4,,,4,15,22,,41,5.56097561,1719.087073,,,
B14,5,,,1,7,26,,34,5.264705882,1730.422353,,,
B14,6,,,,7,35,4,46,5.065217391,1738.054783,,,
B14,7,,,3,38,36,,77,5.571428571,1718.687143,,,
B15,3a,,,,,1,,1,5,1740.55,,,
B15,3b,,,,,1,,1,5,1740.55,,,
B15,5,,,,,1,,1,5,1740.55,,,
B15,6,,,1,,3,,4,5.5,1721.42,,,
B15,7,,,,5,8,,13,5.384615385,1725.834615,,,
B15,8,,,,5,4,,9,5.555555556,1719.294444,,,
B16,1 and 2,,,1,4,9,1,15,5.333333333,1727.796667,,,
B16,3b,,,,7,13,,20,5.35,1727.159,,,
B16,3a,,,2,7,6,,15,5.733333333,1712.492667,,,
B16,4,,,1,9,19,1,30,5.333333333,1727.796667,,,
B16,5,,,1,6,12,,19,5.421052632,1724.440526,,,
B16,6,,,,13,27,,40,5.325,1728.1155,,,
B16,7,,1,,15,18,,34,5.529411765,1720.294706,,,
B16,8,,,1,4,1,,6,6,1702.29,,,
B17,1 and 2,,,,1,3,,4,5.25,1730.985,,,
B17,3a,,,,1,4,,5,5.2,1732.898,,,
B17,3b,,,,1,1,,2,5.5,1721.42,,,
B17,5,,,,,3,1,4,4.75,1750.115,,,
B17,6,,,,2,8,,10,5.2,1732.898,,,
B17,7,,,2,7,13,,22,5.5,1721.42,,,
B18,1 and 2,,,,5,9,,14,5.357142857,1726.885714,,,
B18,3a,,,,4,8,,12,5.333333333,1727.796667,,,
B18,3b,,,,2,3,,5,5.4,1725.246,,,
B18,4,,,,2,4,1,7,5.142857143,1735.084286,,,
B18,5,,,,1,12,,13,5.076923077,1737.606923,,,
B18,6,,,,6,13,,19,5.315789474,1728.467895,,,
B18,7,,,1,13,12,,26,5.576923077,1718.476923,,,
B18,8,,,,2,,,2,6,1702.29,,,
B19,1 and 2,,,,1,1,1,3,5,1740.55,,,
B19,3a,,,,5,9,,14,5.357142857,1726.885714,,,
B19,3b,,,,,11,,11,5,1740.55,,,
B19,4,,,,4,1,,5,5.8,1709.942,,,
B19,5,,,,,3,,3,5,1740.55,,,
B19,6,,,,1,7,,8,5.125,1735.7675,,,
